Date,Weekly_Incidence,Shed_Site,Pop
2020-07-06,98,MSD01,349850
2020-07-13,117,MSD01,349850
2020-07-20,123,MSD01,349850
2020-07-27,160,MSD01,349850
2020-08-03,169,MSD01,349850
2020-08-10,169,MSD01,349850
2020-08-17,143,MSD01,349850
2020-08-24,129,MSD01,349850
2020-08-31,118,MSD01,349850
2020-09-07,107,MSD01,349850
2020-09-14,122,MSD01,349850
2020-09-21,129,MSD01,349850
2020-09-28,140,MSD01,349850
2020-10-05,158,MSD01,349850
2020-10-12,188,MSD01,349850
2020-10-19,233,MSD01,349850
2020-10-26,286,MSD01,349850
2020-11-02,406,MSD01,349850
2020-11-09,422,MSD01,349850
2020-11-16,386,MSD01,349850
2020-11-23,371,MSD01,349850
2020-11-30,347,MSD01,349850
2020-12-07,318,MSD01,349850
2020-12-14,242,MSD01,349850
2020-12-21,258,MSD01,349850
2020-12-28,350,MSD01,349850
2021-01-04,384,MSD01,349850
2021-01-11,335,MSD01,349850
2021-01-18,278,MSD01,349850
2021-01-25,265,MSD01,349850
2021-02-01,219,MSD01,349850
2021-02-08,161,MSD01,349850
2021-02-15,126,MSD01,349850
2021-02-22,118,MSD01,349850
2021-03-01,89,MSD01,349850
2021-03-08,81,MSD01,349850
2021-03-15,84,MSD01,349850
2021-03-22,71,MSD01,349850
2021-03-29,73,MSD01,349850
2021-04-05,87,MSD01,349850
2021-04-12,77,MSD01,349850
2021-04-19,69,MSD01,349850
2021-04-26,69,MSD01,349850
2021-05-03,57,MSD01,349850
2021-05-10,54,MSD01,349850
2021-05-17,48,MSD01,349850
2021-05-24,32,MSD01,349850
2021-05-31,20,MSD01,349850
2021-06-07,27,MSD01,349850
2021-06-14,14,MSD01,349850
2021-06-21,22,MSD01,349850
2021-06-28,23,MSD01,349850
2021-07-05,35,MSD01,349850
2021-07-12,65,MSD01,349850
2021-07-19,93,MSD01,349850
2021-07-26,168,MSD01,349850
2021-08-02,246,MSD01,349850
2021-08-09,317,MSD01,349850
2021-08-16,395,MSD01,349850
2021-08-23,431,MSD01,349850
2021-08-30,455,MSD01,349850
2021-09-06,355,MSD01,349850
2021-09-13,337,MSD01,349850
2021-09-20,415,MSD01,349850
2021-09-27,252,MSD01,349850
2020-07-06,85,MSD02,295910
2020-07-13,123,MSD02,295910
2020-07-20,152,MSD02,295910
2020-07-27,191,MSD02,295910
2020-08-03,148,MSD02,295910
2020-08-10,169,MSD02,295910
2020-08-17,146,MSD02,295910
2020-08-24,117,MSD02,295910
2020-08-31,108,MSD02,295910
2020-09-07,103,MSD02,295910
2020-09-14,128,MSD02,295910
2020-09-21,136,MSD02,295910
2020-09-28,174,MSD02,295910
2020-10-05,230,MSD02,295910
2020-10-12,238,MSD02,295910
2020-10-19,278,MSD02,295910
2020-10-26,370,MSD02,295910
2020-11-02,435,MSD02,295910
2020-11-09,504,MSD02,295910
2020-11-16,457,MSD02,295910
2020-11-23,446,MSD02,295910
2020-11-30,447,MSD02,295910
2020-12-07,380,MSD02,295910
2020-12-14,301,MSD02,295910
2020-12-21,324,MSD02,295910
2020-12-28,434,MSD02,295910
2021-01-04,457,MSD02,295910
2021-01-11,430,MSD02,295910
2021-01-18,337,MSD02,295910
2021-01-25,323,MSD02,295910
2021-02-01,276,MSD02,295910
2021-02-08,233,MSD02,295910
2021-02-15,184,MSD02,295910
2021-02-22,157,MSD02,295910
2021-03-01,124,MSD02,295910
2021-03-08,103,MSD02,295910
2021-03-15,94,MSD02,295910
2021-03-22,87,MSD02,295910
2021-03-29,84,MSD02,295910
2021-04-05,108,MSD02,295910
2021-04-12,99,MSD02,295910
2021-04-19,106,MSD02,295910
2021-04-26,102,MSD02,295910
2021-05-03,75,MSD02,295910
2021-05-10,64,MSD02,295910
2021-05-17,48,MSD02,295910
2021-05-24,28,MSD02,295910
2021-05-31,27,MSD02,295910
2021-06-07,22,MSD02,295910
2021-06-14,20,MSD02,295910
2021-06-21,22,MSD02,295910
2021-06-28,19,MSD02,295910
2021-07-05,32,MSD02,295910
2021-07-12,71,MSD02,295910
2021-07-19,118,MSD02,295910
2021-07-26,196,MSD02,295910
2021-08-02,263,MSD02,295910
2021-08-09,349,MSD02,295910
2021-08-16,455,MSD02,295910
2021-08-23,536,MSD02,295910
2021-08-30,552,MSD02,295910
2021-09-06,435,MSD02,295910
2021-09-13,420,MSD02,295910
2021-09-20,535,MSD02,295910
2021-09-27,317,MSD02,295910
2020-07-06,100,MSD03,55928
2020-07-13,127,MSD03,55928
2020-07-20,125,MSD03,55928
2020-07-27,161,MSD03,55928
2020-08-03,175,MSD03,55928
2020-08-10,148,MSD03,55928
2020-08-17,145,MSD03,55928
2020-08-24,75,MSD03,55928
2020-08-31,89,MSD03,55928
2020-09-07,100,MSD03,55928
2020-09-14,123,MSD03,55928
2020-09-21,114,MSD03,55928
2020-09-28,161,MSD03,55928
2020-10-05,231,MSD03,55928
2020-10-12,224,MSD03,55928
2020-10-19,263,MSD03,55928
2020-10-26,333,MSD03,55928
2020-11-02,479,MSD03,55928
2020-11-09,635,MSD03,55928
2020-11-16,549,MSD03,55928
2020-11-23,615,MSD03,55928
2020-11-30,540,MSD03,55928
2020-12-07,406,MSD03,55928
2020-12-14,352,MSD03,55928
2020-12-21,367,MSD03,55928
2020-12-28,504,MSD03,55928
2021-01-04,472,MSD03,55928
2021-01-11,508,MSD03,55928
2021-01-18,402,MSD03,55928
2021-01-25,363,MSD03,55928
2021-02-01,325,MSD03,55928
2021-02-08,286,MSD03,55928
2021-02-15,215,MSD03,55928
2021-02-22,156,MSD03,55928
2021-03-01,159,MSD03,55928
2021-03-08,70,MSD03,55928
2021-03-15,95,MSD03,55928
2021-03-22,77,MSD03,55928
2021-03-29,118,MSD03,55928
2021-04-05,120,MSD03,55928
2021-04-12,77,MSD03,55928
2021-04-19,89,MSD03,55928
2021-04-26,66,MSD03,55928
2021-05-03,30,MSD03,55928
2021-05-10,34,MSD03,55928
2021-05-17,46,MSD03,55928
2021-05-24,32,MSD03,55928
2021-05-31,9,MSD03,55928
2021-06-07,23,MSD03,55928
2021-06-14,16,MSD03,55928
2021-06-21,29,MSD03,55928
2021-06-28,16,MSD03,55928
2021-07-05,63,MSD03,55928
2021-07-12,55,MSD03,55928
2021-07-19,134,MSD03,55928
2021-07-26,211,MSD03,55928
2021-08-02,256,MSD03,55928
2021-08-09,263,MSD03,55928
2021-08-16,399,MSD03,55928
2021-08-23,449,MSD03,55928
2021-08-30,499,MSD03,55928
2021-09-06,447,MSD03,55928
2021-09-13,374,MSD03,55928
2021-09-20,552,MSD03,55928
2021-09-27,315,MSD03,55928
2020-07-06,96,MSD04,32460
2020-07-13,111,MSD04,32460
2020-07-20,139,MSD04,32460
2020-07-27,179,MSD04,32460
2020-08-03,132,MSD04,32460
2020-08-10,120,MSD04,32460
2020-08-17,105,MSD04,32460
2020-08-24,154,MSD04,32460
2020-08-31,99,MSD04,32460
2020-09-07,246,MSD04,32460
2020-09-14,179,MSD04,32460
2020-09-21,246,MSD04,32460
2020-09-28,194,MSD04,32460
2020-10-05,206,MSD04,32460
2020-10-12,237,MSD04,32460
2020-10-19,256,MSD04,32460
2020-10-26,364,MSD04,32460
2020-11-02,579,MSD04,32460
2020-11-09,641,MSD04,32460
2020-11-16,447,MSD04,32460
2020-11-23,416,MSD04,32460
2020-11-30,437,MSD04,32460
2020-12-07,505,MSD04,32460
2020-12-14,354,MSD04,32460
2020-12-21,407,MSD04,32460
2020-12-28,487,MSD04,32460
2021-01-04,499,MSD04,32460
2021-01-11,397,MSD04,32460
2021-01-18,327,MSD04,32460
2021-01-25,299,MSD04,32460
2021-02-01,268,MSD04,32460
2021-02-08,209,MSD04,32460
2021-02-15,163,MSD04,32460
2021-02-22,89,MSD04,32460
2021-03-01,123,MSD04,32460
2021-03-08,49,MSD04,32460
2021-03-15,99,MSD04,32460
2021-03-22,86,MSD04,32460
2021-03-29,59,MSD04,32460
2021-04-05,80,MSD04,32460
2021-04-12,59,MSD04,32460
2021-04-19,92,MSD04,32460
2021-04-26,74,MSD04,32460
2021-05-03,55,MSD04,32460
2021-05-10,37,MSD04,32460
2021-05-17,49,MSD04,32460
2021-05-24,18,MSD04,32460
2021-05-31,9,MSD04,32460
2021-06-07,34,MSD04,32460
2021-06-14,3,MSD04,32460
2021-06-21,40,MSD04,32460
2021-06-28,22,MSD04,32460
2021-07-05,31,MSD04,32460
2021-07-12,55,MSD04,32460
2021-07-19,169,MSD04,32460
2021-07-26,139,MSD04,32460
2021-08-02,216,MSD04,32460
2021-08-09,274,MSD04,32460
2021-08-16,388,MSD04,32460
2021-08-23,342,MSD04,32460
2021-08-30,397,MSD04,32460
2021-09-06,379,MSD04,32460
2021-09-13,240,MSD04,32460
2021-09-20,314,MSD04,32460
2021-09-27,237,MSD04,32460
2020-07-06,128,MSD05,31269
2020-07-13,80,MSD05,31269
2020-07-20,131,MSD05,31269
2020-07-27,160,MSD05,31269
2020-08-03,115,MSD05,31269
2020-08-10,61,MSD05,31269
2020-08-17,102,MSD05,31269
2020-08-24,86,MSD05,31269
2020-08-31,80,MSD05,31269
2020-09-07,86,MSD05,31269
2020-09-14,86,MSD05,31269
2020-09-21,141,MSD05,31269
2020-09-28,144,MSD05,31269
2020-10-05,128,MSD05,31269
2020-10-12,198,MSD05,31269
2020-10-19,179,MSD05,31269
2020-10-26,313,MSD05,31269
2020-11-02,374,MSD05,31269
2020-11-09,397,MSD05,31269
2020-11-16,387,MSD05,31269
2020-11-23,483,MSD05,31269
2020-11-30,387,MSD05,31269
2020-12-07,358,MSD05,31269
2020-12-14,253,MSD05,31269
2020-12-21,272,MSD05,31269
2020-12-28,413,MSD05,31269
2021-01-04,425,MSD05,31269
2021-01-11,326,MSD05,31269
2021-01-18,249,MSD05,31269
2021-01-25,285,MSD05,31269
2021-02-01,237,MSD05,31269
2021-02-08,138,MSD05,31269
2021-02-15,147,MSD05,31269
2021-02-22,112,MSD05,31269
2021-03-01,83,MSD05,31269
2021-03-08,58,MSD05,31269
2021-03-15,67,MSD05,31269
2021-03-22,74,MSD05,31269
2021-03-29,67,MSD05,31269
2021-04-05,77,MSD05,31269
2021-04-12,48,MSD05,31269
2021-04-19,61,MSD05,31269
2021-04-26,99,MSD05,31269
2021-05-03,45,MSD05,31269
2021-05-10,54,MSD05,31269
2021-05-17,32,MSD05,31269
2021-05-24,19,MSD05,31269
2021-05-31,6,MSD05,31269
2021-06-07,22,MSD05,31269
2021-06-14,16,MSD05,31269
2021-06-21,10,MSD05,31269
2021-06-28,13,MSD05,31269
2021-07-05,51,MSD05,31269
2021-07-12,58,MSD05,31269
2021-07-19,109,MSD05,31269
2021-07-26,166,MSD05,31269
2021-08-02,230,MSD05,31269
2021-08-09,230,MSD05,31269
2021-08-16,317,MSD05,31269
2021-08-23,326,MSD05,31269
2021-08-30,445,MSD05,31269
2021-09-06,310,MSD05,31269
2021-09-13,285,MSD05,31269
2021-09-20,384,MSD05,31269
2021-09-27,221,MSD05,31269